reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-21,wk flu hosp rate change,0,2026-02-21,37,pmf,large_decrease,0.237
2026-02-21,wk flu hosp rate change,0,2026-02-21,37,pmf,large_increase,0.002
2026-02-21,wk flu hosp rate change,0,2026-02-21,37,pmf,stable,0.3010000000000001
2026-02-21,wk flu hosp rate change,0,2026-02-21,38,pmf,decrease,0.335
2026-02-21,wk flu hosp rate change,0,2026-02-21,38,pmf,increase,0.107
2026-02-21,wk flu hosp rate change,0,2026-02-21,38,pmf,large_decrease,0.001
2026-02-21,wk flu hosp rate change,0,2026-02-21,38,pmf,large_increase,0.002
2026-02-21,wk flu hosp rate change,0,2026-02-21,38,pmf,stable,0.555
2026-02-21,wk flu hosp rate change,0,2026-02-21,39,pmf,decrease,0.61
2026-02-21,wk flu hosp rate change,0,2026-02-21,39,pmf,increase,0.068
2026-02-21,wk flu hosp rate change,0,2026-02-21,39,pmf,large_decrease,0.004
2026-02-21,wk flu hosp rate change,0,2026-02-21,39,pmf,large_increase,0.001
2026-02-21,wk flu hosp rate change,0,2026-02-21,39,pmf,stable,0.317
2026-02-21,wk flu hosp rate change,0,2026-02-21,40,pmf,decrease,0.6263736263736263
2026-02-21,wk flu hosp rate change,0,2026-02-21,40,pmf,increase,0.03796203796203796
2026-02-21,wk flu hosp rate change,0,2026-02-21,40,pmf,large_decrease,0.16583416583416583
2026-02-21,wk flu hosp rate change,0,2026-02-21,40,pmf,large_increase,0.001998001998001998
2026-02-21,wk flu hosp rate change,0,2026-02-21,40,pmf,stable,0.1678321678321678
2026-02-21,wk flu hosp rate change,0,2026-02-21,41,pmf,decrease,0.339
2026-02-21,wk flu hosp rate change,0,2026-02-21,41,pmf,increase,0.22
2026-02-21,wk flu hosp rate change,0,2026-02-21,41,pmf,large_decrease,0.009
2026-02-21,wk flu hosp rate change,0,2026-02-21,41,pmf,large_increase,0.002
2026-02-21,wk flu hosp rate change,0,2026-02-21,41,pmf,stable,0.43
2026-02-21,wk flu hosp rate change,0,2026-02-21,42,pmf,decrease,0.283
2026-02-21,wk flu hosp rate change,0,2026-02-21,42,pmf,increase,0.34
2026-02-21,wk flu hosp rate change,0,2026-02-21,42,pmf,large_decrease,0.015
2026-02-21,wk flu hosp rate change,0,2026-02-21,42,pmf,large_increase,0.002
2026-02-21,wk flu hosp rate change,0,2026-02-21,42,pmf,stable,0.36
2026-02-21,wk flu hosp rate change,0,2026-02-21,44,pmf,decrease,0.1938061938061938
2026-02-21,wk flu hosp rate change,0,2026-02-21,44,pmf,increase,0.010989010989010986
2026-02-21,wk flu hosp rate change,0,2026-02-21,44,pmf,large_decrease,0.001998001998001998
2026-02-21,wk flu hosp rate change,0,2026-02-21,44,pmf,large_increase,0.001998001998001998
2026-02-21,wk flu hosp rate change,0,2026-02-21,44,pmf,stable,0.7912087912087912
2026-02-21,wk flu hosp rate change,0,2026-02-21,45,pmf,decrease,0.399
2026-02-21,wk flu hosp rate change,0,2026-02-21,45,pmf,increase,0.211
2026-02-21,wk flu hosp rate change,0,2026-02-21,45,pmf,large_decrease,0.073
2026-02-21,wk flu hosp rate change,0,2026-02-21,45,pmf,large_increase,0.002
2026-02-21,wk flu hosp rate change,0,2026-02-21,45,pmf,stable,0.315
2026-02-21,wk flu hosp rate change,0,2026-02-21,46,pmf,decrease,0.43856143856143853
2026-02-21,wk flu hosp rate change,0,2026-02-21,46,pmf,increase,0.007992007992007992
2026-02-21,wk flu hosp rate change,0,2026-02-21,46,pmf,large_decrease,0.00899100899100899
2026-02-21,wk flu hosp rate change,0,2026-02-21,46,pmf,large_increase,0.000999000999000999
2026-02-21,wk flu hosp rate change,0,2026-02-21,46,pmf,stable,0.5434565434565435
2026-02-21,wk flu hosp rate change,0,2026-02-21,47,pmf,decrease,0.4605394605394605
2026-02-21,wk flu hosp rate change,0,2026-02-21,47,pmf,increase,0.1908091908091908
